protein,length,shape,status
Q96QU8,1125,exists,exists
Q96R06,1193,exists,exists
Q96RP9,751,exists,exists
Q96RQ1,377,exists,exists
Q96RT7,1819,exists,exists
Q96RU2,1077,exists,exists
Q96RU3,617,exists,exists
Q96RY7,1462,exists,exists
Q96S52,555,exists,exists
Q96S55,665,exists,exists
Q96S66,551,exists,exists
Q96SB4,655,exists,exists
Q96SK2,561,exists,exists
Q96SN8,1893,exists,exists
Q96ST2,819,exists,exists
Q96ST3,1273,exists,exists
Q96SU4,736,exists,exists
Q96SZ6,601,exists,exists
Q96T17,732,exists,exists
Q96T23,1441,exists,exists
Q96T37,977,exists,exists
Q96T51,708,exists,exists
Q96T76,1030,exists,exists
Q96TA1,746,exists,exists
Q96TA2,773,exists,exists
Q96TC7,470,exists,exists
Q99417,103,exists,exists
Q99426,244,exists,exists
Q99436,277,exists,exists
Q99442,399,exists,exists
Q99459,802,exists,exists
Q99460,953,exists,exists
Q99471,154,exists,exists
Q99497,189,exists,exists
Q99536,393,exists,exists
Q99541,437,exists,exists
Q99543,621,exists,exists
Q99567,741,exists,exists
Q99575,1024,exists,exists
Q99584,98,exists,exists
Q99590,1463,exists,exists
Q99598,290,exists,exists
Q99614,292,exists,exists
Q99615,494,exists,exists
Q99623,299,exists,exists
Q99633,342,exists,exists
Q99653,195,exists,exists
Q99685,303,exists,exists
Q99700,1313,exists,exists
Q99707,1265,exists,exists
Q99714,261,exists,exists
Q99747,312,exists,exists
Q99757,166,exists,exists
Q99784,485,exists,exists
Q99798,780,exists,exists
Q99805,663,exists,exists
Q99808,456,exists,exists
Q99832,543,exists,exists
Q99848,306,exists,exists
Q99961,368,exists,exists
Q99986,396,exists,exists
Q9BPX3,1015,exists,exists
Q9BPX5,153,exists,exists
Q9BPX6,476,exists,exists
Q9BQ15,211,exists,exists
Q9BQ52,826,exists,exists
Q9BQ61,176,exists,exists
Q9BQ69,325,exists,exists
Q9BQ75,279,exists,exists
Q9BQG0,1328,exists,exists
Q9BQG2,462,exists,exists
Q9BQP7,344,exists,exists
Q9BR61,282,exists,exists
Q9BR76,489,exists,exists
Q9BRJ2,306,exists,exists
Q9BRK5,362,exists,exists
Q9BRL6,282,exists,exists
Q9BRP8,204,exists,exists
Q9BRQ8,373,exists,exists
Q9BRS2,568,exists,exists
Q9BRT6,129,exists,exists
Q9BRU9,249,exists,exists
Q9BRX2,385,exists,exists
Q9BRX5,216,exists,exists
Q9BRX8,229,exists,exists
Q9BS16,269,exists,exists
Q9BS26,406,exists,exists
Q9BSC4,688,exists,exists
Q9BSH4,297,exists,exists
Q9BSJ2,902,exists,exists
Q9BSJ8,1104,exists,exists
Q9BSM1,259,exists,exists
Q9BSR8,244,exists,exists
Q9BT73,122,exists,exists
Q9BT78,406,exists,exists
Q9BTC0,2240,exists,exists
Q9BTE3,642,642x1024,generated
Q9BTT4,135,exists,exists
Q9BTU6,479,exists,exists
Q9BTV4,400,exists,exists
Q9BTW9,1192,exists,exists
Q9BUJ2,856,exists,exists
Q9BUK6,570,exists,exists
Q9BUL8,212,exists,exists
Q9BUP3,242,exists,exists
Q9BUQ8,820,exists,exists
Q9BV38,432,exists,exists
Q9BV57,179,exists,exists
Q9BV81,110,exists,exists
Q9BVC6,243,exists,exists
Q9BVI4,516,exists,exists
Q9BVJ6,771,exists,exists
Q9BVK2,526,exists,exists
Q9BVK6,235,exists,exists
Q9BVL2,599,exists,exists
Q9BVP2,549,exists,exists
Q9BW27,656,exists,exists
Q9BW71,556,exists,exists
Q9BW72,106,exists,exists
Q9BW83,186,exists,exists
Q9BW85,323,exists,exists
Q9BW91,350,exists,exists
Q9BWF3,364,exists,exists
Q9BWS9,393,exists,exists
Q9BWW8,343,exists,exists
Q9BXB4,747,exists,exists
Q9BXJ9,866,exists,exists
Q9BXP5,876,exists,exists
Q9BXS5,423,exists,exists
Q9BXS6,441,exists,exists
Q9BXW6,950,exists,exists
Q9BXW7,423,exists,exists
Q9BXW9,1451,exists,exists
Q9BXY0,300,exists,exists
Q9BY08,206,exists,exists
Q9BY32,194,exists,exists
Q9BY42,306,exists,exists
Q9BY44,585,exists,exists
Q9BY77,421,exists,exists
Q9BY89,1806,exists,exists
Q9BYD2,267,exists,exists
Q9BYD6,325,exists,exists
Q9BYG3,293,exists,exists
Q9BYT8,704,exists,exists
Q9BYW2,2564,exists,exists
Q9BYX2,928,928x1024,generated
Q9BZD4,464,exists,exists
Q9BZE1,423,exists,exists
Q9BZE4,634,exists,exists
Q9BZF1,889,exists,exists
Q9BZF9,1416,exists,exists
Q9BZG1,259,exists,exists
Q9BZH6,1224,exists,exists
Q9BZI7,483,exists,exists
Q9BZJ0,848,exists,exists
Q9BZV1,441,exists,exists
Q9BZX2,261,exists,exists
Q9BZZ5,524,exists,exists
Q9C005,99,exists,exists
Q9C0B5,715,exists,exists
Q9C0C2,1729,exists,exists
Q9C0C9,1292,exists,exists
Q9C0D5,1861,exists,exists
Q9C0E2,1151,exists,exists
Q9GZL7,423,exists,exists
Q9GZP4,211,exists,exists
Q9GZQ3,224,exists,exists
Q9GZR2,422,exists,exists
Q9GZR7,859,exists,exists
Q9GZS1,419,exists,exists
Q9GZS3,305,exists,exists
Q9GZT3,109,exists,exists
Q9GZT9,426,exists,exists
Q9GZU8,254,exists,exists
Q9GZY8,342,exists,exists
Q9GZZ1,169,exists,exists
Q9GZZ9,404,exists,exists
Q9H000,416,exists,exists
Q9H074,479,exists,exists
Q9H078,707,exists,exists
Q9H081,205,exists,exists
Q9H089,658,exists,exists
Q9H0A0,1025,exists,exists
Q9H0A8,199,exists,exists
Q9H0B6,622,exists,exists
Q9H0C8,392,exists,exists
Q9H0D6,950,exists,exists
Q9H0E3,1048,exists,exists
Q9H0F6,387,exists,exists
Q9H0H5,632,exists,exists
Q9H0W9,315,exists,exists
Q9H1A4,1944,exists,exists
Q9H1I8,757,exists,exists
Q9H1K0,784,exists,exists
Q9H1K1,167,exists,exists
Q9H1Y0,275,exists,exists
Q9H201,632,exists,exists
Q9H254,2564,exists,exists
Q9H267,617,exists,exists
Q9H269,839,exists,exists
Q9H270,941,941x1024,generated
Q9H2D1,315,exists,exists
Q9H2F9,335,exists,exists
Q9H2G2,1235,exists,exists
Q9H2J4,239,exists,exists
Q9H2L5,321,exists,exists
Q9H2M9,1393,exists,exists
Q9H2U1,1008,exists,exists
Q9H2U2,334,exists,exists
Q9H307,717,exists,exists
Q9H3H5,408,exists,exists
Q9H3K2,345,exists,exists
Q9H3P2,528,exists,exists
Q9H3P7,528,exists,exists
Q9H3Q1,356,exists,exists
Q9H3R2,512,exists,exists
Q9H3S7,1636,exists,exists
Q9H3U1,944,exists,exists
Q9H3U5,465,exists,exists
Q9H3Z4,198,exists,exists
Q9H444,224,exists,exists
Q9H467,287,exists,exists
Q9H479,309,exists,exists
Q9H4A3,2382,exists,exists
Q9H4A4,650,exists,exists
Q9H4A6,298,exists,exists
Q9H4L7,1026,exists,exists
Q9H501,851,exists,exists
Q9H553,416,exists,exists
Q9H583,2144,exists,exists
Q9H5Q4,396,exists,exists
Q9H633,154,exists,exists
Q9H6E5,874,exists,exists
Q9H6F5,360,exists,exists
Q9H6H4,257,exists,exists
Q9H6R4,1146,exists,exists
Q9H6S0,1430,exists,exists
Q9H6S3,715,exists,exists
Q9H6T0,727,exists,exists
Q9H6T3,665,exists,exists
Q9H6U8,611,exists,exists
Q9H6W3,641,exists,exists
Q9H6Z4,567,exists,exists
Q9H788,454,exists,exists
Q9H7B2,306,exists,exists
Q9H7D0,1870,exists,exists
Q9H7E2,651,exists,exists
Q9H7Z7,377,exists,exists
Q9H814,394,exists,exists
Q9H832,354,exists,exists
Q9H875,184,exists,exists
Q9H8H0,719,exists,exists
Q9H8H2,851,exists,exists
Q9H8M5,875,exists,exists
Q9H8Y8,452,exists,exists
Q9H900,591,exists,exists
Q9H910,190,exists,exists
Q9H936,323,exists,exists
Q9H967,626,exists,exists
Q9H993,441,exists,exists
Q9H9A6,602,exists,exists
Q9H9B4,322,exists,exists
Q9H9C1,493,exists,exists
Q9H9E3,785,exists,exists
Q9H9L3,353,exists,exists
Q9H9P8,463,exists,exists
Q9H9T3,547,exists,exists
Q9HA77,564,exists,exists
Q9HAU5,1272,exists,exists
Q9HAV4,1204,exists,exists
Q9HAV7,217,exists,exists
Q9HB40,452,exists,exists
Q9HB71,228,exists,exists
Q9HBH0,211,exists,exists
Q9HBL7,147,exists,exists
Q9HBL8,299,exists,exists
Q9HBM1,224,exists,exists
Q9HC07,324,exists,exists
Q9HC21,320,exists,exists
Q9HC35,981,exists,exists
Q9HC36,420,exists,exists
Q9HC38,313,exists,exists
Q9HC98,313,exists,exists
Q9HCC0,563,exists,exists
Q9HCD5,579,exists,exists
Q9HCE1,1003,exists,exists
Q9HCL2,828,exists,exists
Q9HCS7,855,exists,exists
Q9HCU5,417,exists,exists
Q9HD26,462,exists,exists
Q9HD33,250,exists,exists
Q9HD34,91,exists,exists
Q9HD67,2058,exists,exists
Q9HDC9,416,exists,exists
Q9NP58,842,exists,exists
Q9NP66,347,exists,exists
Q9NP79,307,exists,exists
Q9NP80,782,exists,exists
Q9NPA3,183,exists,exists
Q9NPA8,101,exists,exists
Q9NPE3,64,exists,exists
Q9NPF5,467,exists,exists
Q9NPF8,381,exists,exists
Q9NPJ6,270,exists,exists
Q9NPL8,285,exists,exists
Q9NPQ8,531,exists,exists
Q9NQ55,473,exists,exists
Q9NQ88,270,exists,exists
Q9NQC3,1192,exists,exists
Q9NQG5,326,exists,exists
Q9NQP4,134,exists,exists
Q9NQS7,918,exists,exists
Q9NQT4,235,exists,exists
Q9NQV7,894,exists,exists
Q9NQW6,1124,exists,exists
Q9NQW7,623,exists,exists
Q9NQX3,736,exists,exists
Q9NQZ2,479,exists,exists
Q9NR12,457,exists,exists
Q9NR28,239,exists,exists
Q9NR30,783,exists,exists
Q9NR31,198,exists,exists
Q9NR33,117,exists,exists
Q9NR45,359,exists,exists
Q9NR46,395,exists,exists
Q9NR50,452,exists,exists
Q9NR56,388,exists,exists
Q9NRF9,147,exists,exists
Q9NRG0,131,exists,exists
Q9NRG1,225,exists,exists
Q9NRG4,433,exists,exists
Q9NRH2,765,exists,exists
Q9NRK6,738,exists,exists
Q9NRL2,1556,exists,exists
Q9NRN7,309,exists,exists
Q9NRN9,209,exists,exists
Q9NRS6,342,exists,exists
Q9NRV9,189,exists,exists
Q9NRW7,570,exists,exists
Q9NRX2,175,exists,exists
Q9NRX4,125,exists,exists
Q9NRY2,104,exists,exists
Q9NRZ9,838,exists,exists
Q9NS87,1388,exists,exists
Q9NS91,495,exists,exists
Q9NS93,570,exists,exists
Q9NSD9,589,exists,exists
Q9NSE4,1012,exists,exists
Q9NSI2,230,exists,exists
Q9NSV4,1193,exists,exists
Q9NT62,314,exists,exists
Q9NTI5,1447,exists,exists
Q9NTJ3,1288,exists,exists
Q9NTJ5,587,exists,exists
Q9NTK5,396,exists,exists
Q9NTM9,273,exists,exists
Q9NTZ6,932,exists,exists
Q9NUL3,570,exists,exists
Q9NUM4,274,exists,exists
Q9NUP9,197,exists,exists
Q9NUQ2,364,exists,exists
Q9NUQ8,709,exists,exists
Q9NUQ9,324,exists,exists
Q9NV06,445,exists,exists
Q9NV70,894,exists,exists
Q9NVC6,651,exists,exists
Q9NVD7,372,exists,exists
Q9NVE7,773,exists,exists
Q9NVG8,400,exists,exists
Q9NVH1,559,exists,exists
Q9NVH2,962,exists,exists
Q9NVI1,1328,exists,exists
Q9NVM4,692,exists,exists
Q9NVM6,304,exists,exists
Q9NVM9,706,exists,exists
Q9NVN8,582,exists,exists
Q9NVP1,670,exists,exists
Q9NVQ4,179,exists,exists
Q9NVS2,196,exists,exists
Q9NVT9,282,exists,exists
Q9NVU0,708,exists,exists
Q9NVU7,687,exists,exists
Q9NVV4,582,exists,exists
Q9NVX2,485,exists,exists
Q9NW08,1133,exists,exists
Q9NW13,759,exists,exists
Q9NW64,420,exists,exists
Q9NW68,430,exists,exists
Q9NW81,257,exists,exists
Q9NW82,654,exists,exists
Q9NWB6,273,exists,exists
Q9NWH9,1034,exists,exists
Q9NWS8,449,exists,exists
Q9NWT1,392,exists,exists
Q9NWV4,160,exists,exists
Q9NX01,149,exists,exists
Q9NX18,166,exists,exists
Q9NX40,245,exists,exists
Q9NX62,359,exists,exists
Q9NXC5,875,exists,exists
Q9NXE4,866,exists,exists
Q9NXF1,929,exists,exists
Q9NXG2,353,exists,exists
Q9NXH9,659,exists,exists
Q9NXR1,335,exists,exists
Q9NY12,217,exists,exists
Q9NY27,417,exists,exists
Q9NY33,737,exists,exists
Q9NY61,560,exists,exists
Q9NY74,926,exists,exists
Q9NY93,547,exists,exists
Q9NYB9,513,exists,exists
Q9NYH9,597,exists,exists
Q9NYK5,338,exists,exists
Q9NYL9,352,exists,exists
Q9NYP7,299,exists,exists
Q9NYU2,1555,exists,exists
Q9NZ01,308,exists,exists
Q9NZ09,502,exists,exists
Q9NZ32,417,exists,exists
Q9NZ43,259,exists,exists
Q9NZ52,723,exists,exists
Q9NZ63,289,exists,exists
Q9NZD2,209,exists,exists
Q9NZD8,308,exists,exists
Q9NZE8,188,exists,exists
Q9NZL9,334,exists,exists
Q9NZM1,2061,exists,exists
Q9NZM3,1697,exists,exists
Q9NZM5,478,exists,exists
Q9NZN4,543,exists,exists
Q9NZN5,1544,exists,exists
Q9NZN8,540,exists,exists
Q9NZZ3,219,exists,exists
Q9P000,198,exists,exists
Q9P013,229,exists,exists
Q9P016,225,exists,exists
Q9P021,101,exists,exists
Q9P0I2,261,exists,exists
Q9P0J0,144,exists,exists
Q9P0J7,381,exists,exists
Q9P0K7,980,exists,exists
Q9P0L0,249,exists,exists
Q9P0M9,148,exists,exists
Q9P0P8,240,exists,exists
Q9P0S2,106,exists,exists
Q9P0U3,644,exists,exists
Q9P0V3,963,exists,exists
Q9P0V9,454,exists,exists
Q9P1Y5,1249,exists,exists
Q9P1Z2,691,exists,exists
Q9P219,2028,exists,exists
Q9P253,973,exists,exists
Q9P258,522,exists,exists
Q9P260,1216,exists,exists
Q9P287,314,exists,exists
Q9P2B4,639,exists,exists
Q9P2E3,1918,exists,exists
Q9P2E9,1410,exists,exists
Q9P2I0,782,exists,exists
Q9P2J5,1176,exists,exists
Q9P2K3,495,exists,exists
Q9P2N5,1060,exists,exists
Q9P2R3,1169,exists,exists
Q9P2R7,463,exists,exists
Q9P2S5,460,exists,exists
Q9P2W9,335,exists,exists
Q9UBB4,475,exists,exists
Q9UBB5,411,exists,exists
Q9UBB9,837,exists,exists
Q9UBD5,711,exists,exists
Q9UBE0,346,exists,exists
Q9UBF8,816,exists,exists
Q9UBH6,696,exists,exists
Q9UBI1,195,exists,exists
Q9UBI6,72,exists,exists
Q9UBL3,628,exists,exists
Q9UBM7,475,exists,exists
Q9UBP0,616,exists,exists
Q9UBP9,304,exists,exists
Q9UBR2,303,exists,exists
Q9UBS3,223,exists,exists
Q9UBS4,358,exists,exists
Q9UBS8,474,exists,exists
Q9UBT2,640,exists,exists
Q9UBT7,734,exists,exists
Q9UBU8,362,exists,exists
Q9UBU9,619,exists,exists
Q9UBV2,794,exists,exists
Q9UBW5,565,exists,exists
Q9UBW8,275,exists,exists
Q9UBX8,382,exists,exists
Q9UDY2,1190,exists,exists
Q9UDY8,824,exists,exists
Q9UEE9,299,exists,exists
Q9UER7,740,exists,exists
Q9UEW8,545,exists,exists
Q9UG63,623,exists,exists
Q9UGC7,380,exists,exists
Q9UGI8,421,exists,exists
Q9UGJ1,667,exists,exists
Q9UGM6,360,exists,exists
Q9UGN5,583,exists,exists
Q9UGP4,676,exists,exists
Q9UGP8,760,exists,exists
Q9UGR2,977,exists,exists
Q9UH65,585,exists,exists
Q9UHA3,163,exists,exists
Q9UHB6,759,exists,exists
Q9UHB9,627,exists,exists
Q9UHD1,332,exists,exists
Q9UHD2,729,exists,exists
Q9UHD8,586,exists,exists
Q9UHD9,624,exists,exists
Q9UHG3,505,exists,exists
Q9UHI6,824,exists,exists
Q9UHN1,485,exists,exists
Q9UHQ9,305,exists,exists
Q9UHV9,154,exists,exists
Q9UHW9,1150,exists,exists
Q9UHY7,261,exists,exists
Q9UI09,145,exists,exists
Q9UI10,523,exists,exists
Q9UI12,483,exists,exists
Q9UIA9,1087,exists,exists
Q9UIG0,1483,exists,exists
Q9UII2,106,exists,exists
Q9UIQ6,1025,exists,exists
Q9UJ83,578,exists,exists
Q9UJA5,497,exists,exists
Q9UJC3,728,exists,exists
Q9UJU6,430,exists,exists
Q9UJV9,622,exists,exists
Q9UJX2,597,exists,exists
Q9UJZ1,356,exists,exists
Q9UK32,745,exists,exists
Q9UK41,221,exists,exists
Q9UK45,103,exists,exists
Q9UK59,544,exists,exists
Q9UK61,1670,exists,exists
Q9UKA4,1901,exists,exists
Q9UKD2,239,exists,exists
Q9UKK3,1724,exists,exists
Q9UKK9,219,exists,exists
Q9UKN8,822,exists,exists
Q9UKV3,1341,exists,exists
Q9UKX7,468,exists,exists
Q9UKY7,258,exists,exists
Q9UKZ1,510,exists,exists
Q9UL03,887,exists,exists
Q9UL25,225,exists,exists
Q9UL63,735,exists,exists
Q9ULC3,237,exists,exists
Q9ULC4,181,exists,exists
Q9ULD2,1270,exists,exists
Q9ULD9,1512,exists,exists
Q9ULG6,757,exists,exists
Q9ULH0,1771,exists,exists
Q9ULI2,386,exists,exists
Q9ULJ8,1098,exists,exists
Q9ULR0,285,exists,exists
Q9ULW0,747,exists,exists
Q9ULX3,412,exists,exists
Q9ULX6,646,exists,exists
Q9UMS4,504,exists,exists
Q9UMX5,172,exists,exists
Q9UMY1,257,exists,exists
Q9UMZ2,1314,exists,exists
Q9UN86,482,exists,exists
Q9UNE7,303,exists,exists
Q9UNF0,486,exists,exists
Q9UNH7,406,exists,exists
Q9UNI6,340,exists,exists
Q9UNK0,236,exists,exists
Q9UNL2,185,exists,exists
Q9UNM6,376,exists,exists
Q9UNN5,650,exists,exists
Q9UNQ2,313,exists,exists
Q9UNS2,423,exists,exists
Q9UNX4,943,exists,exists
Q9UNY4,1162,exists,exists
Q9UNZ2,370,exists,exists
Q9UNZ5,99,exists,exists
Q9UPN4,1083,exists,exists
Q9UPN6,1271,exists,exists
Q9UPN9,1127,exists,exists
Q9UPQ0,1083,exists,exists
Q9UPR0,1127,exists,exists
Q9UPT5,735,exists,exists
Q9UPT9,525,exists,exists
Q9UPU5,2620,exists,exists
Q9UQ80,394,exists,exists
Q9UQB8,552,exists,exists
Q9UQE7,1217,exists,exists
Q9UQN3,213,exists,exists
Q9Y217,621,exists,exists
Q9Y221,180,exists,exists
Q9Y223,722,exists,exists
Q9Y224,244,exists,exists
Q9Y230,463,exists,exists
Q9Y237,131,exists,exists
Q9Y248,185,exists,exists
Q9Y255,219,exists,exists
Q9Y262,564,exists,exists
Q9Y263,795,exists,exists
Q9Y266,331,exists,exists
Q9Y282,383,exists,exists
Q9Y285,508,exists,exists
Q9Y295,367,exists,exists
Q9Y2A7,1128,exists,exists
Q9Y2B0,182,exists,exists
Q9Y2B1,443,exists,exists
Q9Y2C4,368,exists,exists
Q9Y2D4,811,exists,exists
Q9Y2H2,1132,exists,exists
Q9Y2H6,1198,exists,exists
Q9Y2J2,1087,exists,exists
Q9Y2K9,1186,exists,exists
Q9Y2L1,958,exists,exists
Q9Y2Q9,187,exists,exists
Q9Y2R9,242,exists,exists
Q9Y2S7,368,exists,exists
Q9Y2T2,418,exists,exists
Q9Y2T3,454,exists,exists
Q9Y2V2,147,exists,exists
Q9Y2W1,955,exists,exists
Q9Y2W2,641,exists,exists
Q9Y2W6,561,exists,exists
Q9Y2X0,877,exists,exists
Q9Y2X7,761,exists,exists
Q9Y2Z0,365,exists,exists
Q9Y305,439,exists,exists
Q9Y312,384,exists,exists
Q9Y314,301,exists,exists
Q9Y316,297,exists,exists
Q9Y324,198,exists,exists
Q9Y333,95,exists,exists
Q9Y375,327,exists,exists
Q9Y376,341,exists,exists
Q9Y383,392,exists,exists
Q9Y394,339,exists,exists
Q9Y399,296,exists,exists
Q9Y3A2,253,exists,exists
Q9Y3A3,225,exists,exists
Q9Y3A4,280,exists,exists
Q9Y3A5,250,exists,exists
Q9Y3B2,195,exists,exists
Q9Y3B3,224,exists,exists
Q9Y3B4,125,exists,exists
Q9Y3B7,192,exists,exists
Q9Y3B8,237,exists,exists
Q9Y3B9,282,exists,exists
Q9Y3C0,194,exists,exists
Q9Y3C1,178,exists,exists
Q9Y3C8,167,exists,exists
Q9Y3D0,163,exists,exists
Q9Y3D3,137,exists,exists
Q9Y3D6,152,exists,exists
Q9Y3D7,125,exists,exists
Q9Y3D8,172,exists,exists
Q9Y3D9,190,exists,exists
Q9Y3F4,350,exists,exists
Q9Y3I0,505,exists,exists
Q9Y3P9,1069,exists,exists
Q9Y3T9,749,exists,exists
Q9Y3U8,105,exists,exists
Q9Y3Y2,248,exists,exists
Q9Y3Z3,626,exists,exists
Q9Y446,797,exists,exists
Q9Y448,316,exists,exists
Q9Y450,684,exists,exists
Q9Y466,385,exists,exists
Q9Y4B5,1905,exists,exists
Q9Y4C2,921,exists,exists
Q9Y4C8,960,exists,exists
Q9Y4E8,981,exists,exists
Q9Y4F1,1045,exists,exists
Q9Y4G6,2542,exists,exists
Q9Y4I1,1855,exists,exists
Q9Y4L1,999,exists,exists
Q9Y4P3,447,exists,exists
Q9Y4P8,454,exists,exists
Q9Y4W2,734,exists,exists
Q9Y4W6,797,exists,exists
Q9Y4X5,557,exists,exists
Q9Y4Y9,91,exists,exists
Q9Y4Z0,139,exists,exists
Q9Y508,228,exists,exists
Q9Y512,469,exists,exists
Q9Y570,386,exists,exists
Q9Y597,815,exists,exists
Q9Y5A7,615,exists,exists
Q9Y5B6,917,exists,exists
Q9Y5B9,1047,exists,exists
Q9Y5J1,556,exists,exists
Q9Y5K6,639,exists,exists
Q9Y5L0,923,exists,exists
Q9Y5M8,271,exists,exists
Q9Y5N6,252,exists,exists
Q9Y5P4,624,exists,exists
Q9Y5Q8,519,exists,exists
Q9Y5Q9,886,exists,exists
Q9Y5T5,823,exists,exists
Q9Y5V0,76,exists,exists
Q9Y5W8,968,exists,exists
Q9Y606,427,exists,exists
Q9Y608,721,exists,exists
Q9Y617,370,exists,exists
Q9Y673,324,exists,exists
Q9Y676,258,exists,exists
Q9Y678,874,exists,exists
Q9Y696,253,exists,exists
Q9Y6A5,838,exists,exists
Q9Y6C9,303,exists,exists
Q9Y6D6,1849,exists,exists
Q9Y6D9,718,exists,exists
Q9Y6E0,443,exists,exists
Q9Y6G3,142,exists,exists
Q9Y6G9,523,exists,exists
Q9Y6K5,1087,exists,exists
Q9Y6K9,419,exists,exists
Q9Y6M1,599,exists,exists
Q9Y6M7,1214,exists,exists
Q9Y6M9,179,exists,exists
Q9Y6R0,609,exists,exists
Q9Y6V7,483,exists,exists
Q9Y6X1,66,exists,exists
Q9Y6X9,1032,exists,exists
Q9Y6Y0,642,exists,exists
Q9Y6Y8,1000,exists,exists
